[2025-08-07 14:16:56,365] INFO django.utils.autoreload trigger_reload:265 - C:\Users\2129705\Python_Codes\Cursor\EduPortal\backend\api\views.py changed, reloading.
[2025-08-07 14:17:08,525] INFO django.utils.autoreload run_with_reloader:667 - Watching for file changes with StatReloader
[2025-08-07 14:17:49,393] ERROR django.server log_message:213 - "DELETE /api/users/3/ HTTP/1.1" 500 118981
[2025-08-07 14:18:24,230] ERROR django.server log_message:213 - "GET /manifest.json HTTP/1.1" 500 119262
[2025-08-07 14:18:31,229] ERROR django.server log_message:213 - "DELETE /api/users/3/ HTTP/1.1" 500 118996
[2025-08-07 14:19:06,096] ERROR django.server log_message:213 - "PUT /api/users/3/ HTTP/1.1" 500 118987
[2025-08-07 14:20:12,580] INFO django.utils.autoreload trigger_reload:265 - C:\Users\2129705\Python_Codes\Cursor\EduPortal\backend\api\middleware.py changed, reloading.
[2025-08-07 14:20:25,623] INFO django.utils.autoreload run_with_reloader:667 - Watching for file changes with StatReloader
[2025-08-07 14:20:39,414] INFO django.utils.autoreload trigger_reload:265 - C:\Users\2129705\Python_Codes\Cursor\EduPortal\backend\api\views.py changed, reloading.
[2025-08-07 14:20:50,696] INFO django.utils.autoreload run_with_reloader:667 - Watching for file changes with StatReloader
[2025-08-07 14:21:03,425] INFO django.utils.autoreload trigger_reload:265 - C:\Users\2129705\Python_Codes\Cursor\EduPortal\backend\api\views.py changed, reloading.
[2025-08-07 14:21:15,581] INFO django.utils.autoreload run_with_reloader:667 - Watching for file changes with StatReloader
[2025-08-07 14:22:02,377] INFO django.utils.autoreload trigger_reload:265 - C:\Users\2129705\Python_Codes\Cursor\EduPortal\backend\api\views.py changed, reloading.
[2025-08-07 14:22:14,822] INFO django.utils.autoreload run_with_reloader:667 - Watching for file changes with StatReloader
[2025-08-07 14:22:38,696] INFO django.utils.autoreload trigger_reload:265 - C:\Users\2129705\Python_Codes\Cursor\EduPortal\backend\api\views.py changed, reloading.
[2025-08-07 14:22:51,122] INFO django.utils.autoreload run_with_reloader:667 - Watching for file changes with StatReloader
[2025-08-07 14:32:08,281] INFO django.server log_message:213 - "OPTIONS /api/users/3/ HTTP/1.1" 200 0
[2025-08-07 14:32:08,731] ERROR django.server log_message:213 - "PUT /api/users/3/ HTTP/1.1" 500 118970
[2025-08-07 14:32:20,436] INFO django.server log_message:213 - "OPTIONS /api/users/profile/ HTTP/1.1" 200 0
[2025-08-07 14:32:20,437] INFO django.server log_message:213 - "OPTIONS /api/users/profile/ HTTP/1.1" 200 0
[2025-08-07 14:32:20,529] ERROR django.server log_message:213 - "GET /api/users/profile/ HTTP/1.1" 500 119021
[2025-08-07 14:32:20,875] ERROR django.server log_message:213 - "GET /manifest.json HTTP/1.1" 500 119192
[2025-08-07 14:32:22,582] ERROR django.server log_message:213 - "GET /api/users/profile/ HTTP/1.1" 500 119021
[2025-08-07 14:32:28,685] INFO django.server log_message:213 - "OPTIONS /api/auth/login/ HTTP/1.1" 200 0
[2025-08-07 14:32:28,788] ERROR django.server log_message:213 - "POST /api/auth/login/ HTTP/1.1" 500 118762
[2025-08-07 14:33:45,713] INFO django.utils.autoreload trigger_reload:265 - C:\Users\2129705\Python_Codes\Cursor\EduPortal\backend\api\middleware.py changed, reloading.
[2025-08-07 14:33:58,708] INFO django.utils.autoreload run_with_reloader:667 - Watching for file changes with StatReloader
[2025-08-07 14:35:12,380] INFO django.server log_message:213 - "POST /api/auth/login/ HTTP/1.1" 200 786
